City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kannur,IN,85.15,clear sky,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
2,Port Elizabeth,ZA,78.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
5,Butaritari,KI,79.79,moderate rain,3.0707,172.7902,Isles Sunset Lodge
9,Cape Town,ZA,78.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
11,Hermanus,ZA,82.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
16,Busselton,AU,76.08,scattered clouds,-33.65,115.3333,Observatory Guest House
22,Ballina,AU,82.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
25,East London,ZA,76.14,few clouds,-33.0153,27.9116,Tu Casa
26,Port Alfred,ZA,77.25,clear sky,-33.5906,26.891,The Halyards Hotel
31,Ankazoabo,MG,80.44,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
39,Hervey Bay,AU,83.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
46,Bredasdorp,ZA,82.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
53,Rikitea,PF,77.9,overcast clouds,-23.1203,-134.9692,People ThankYou
54,Alibag,IN,78.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
63,Phan Thiet,VN,82.96,broken clouds,10.9333,108.1,Hotel Saigon-PT
66,Pedernales,DO,75.63,scattered clouds,18.0384,-71.744,Hotel Costa Marina
69,Kavaratti,IN,79.52,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
71,Saint-Philippe,RE,85.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Biltine,TD,76.39,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
83,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
84,Flinders,AU,77.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
86,Durban,ZA,79.02,overcast clouds,-29.8579,31.0292,Hilton Durban
87,Itarema,BR,76.19,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
90,Namatanai,PG,82.99,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
99,Souillac,MU,84.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Majene,ID,86.86,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
102,Ratnagiri,IN,78.57,overcast clouds,16.9833,73.3,Hotel Landmark
103,Faanui,PF,81.18,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Qui Nhon,VN,75.74,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
109,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
111,Dawei,MM,89.62,clear sky,14.0833,98.2,Hotel Dawei
112,Gulu,UG,83.57,overcast clouds,2.7746,32.299,ACHOLI INN
114,Hithadhoo,MV,82.06,few clouds,-0.6,73.0833,Scoop Guest House
115,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
128,Avanigadda,IN,82.54,few clouds,16.0215,80.9181,AP Camping
130,Salalah,OM,75.36,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
135,Kulhudhuffushi,MV,80.89,clear sky,6.6221,73.07,Haajy Guest House 1
137,Tura,IN,76.86,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
138,Samarinda,ID,83.44,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
140,Bambous Virieux,MU,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
147,Meulaboh,ID,80.11,overcast clouds,4.1363,96.1285,Kost Pria
152,San Rafael,AR,79.45,few clouds,-34.6177,-68.3301,Hotel San Rafael
163,Caravelas,BR,76.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
170,Nanakuli,US,75.15,few clouds,21.3906,-158.1547,Camp Pālehua
178,Tondano,ID,78.89,scattered clouds,1.3038,124.9112,Villa Bella
181,Japura,ID,86.16,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
183,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
196,Kavieng,PG,83.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
198,Vanimo,PG,77.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
203,Mayumba,GA,77.61,light rain,-3.432,10.6554,LIKWALE LODGE
209,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
212,Vao,NC,77.34,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
229,Alugan,PH,81.59,few clouds,12.2188,125.4808,JM Lodge
230,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
231,Ambulu,ID,84.29,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
233,Cap Malheureux,MU,84.69,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
252,Weligama,LK,81.45,overcast clouds,5.9667,80.4167,Weligama Bay Resort
253,Richards Bay,ZA,80.74,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
257,West Bay,KY,79.0,overcast clouds,19.3667,-81.4167,Calypso Cove
258,Lorengau,PG,82.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
270,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
274,Metro,ID,87.69,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
282,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
283,Mahibadhoo,MV,81.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
284,Poum,NC,82.29,few clouds,-20.2333,164.0167,Gîte kajeon
287,Beaufort,MY,86.16,scattered clouds,5.3473,115.7455,The Gem Hotel Beaufort
291,Auki,SB,80.83,few clouds,-8.7676,160.7034,Auki Motel
294,Nicoya,CR,78.35,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
295,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
300,Karatu,TZ,76.06,overcast clouds,-3.3333,35.6667,Highview Coffee Lodge
301,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
305,Quatre Cocos,MU,84.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
308,Benguela,AO,75.94,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
315,Tambilil,PH,84.63,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
330,Rock Sound,BS,75.6,overcast clouds,24.9,-76.2,Pink Corral Bay Property
336,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
339,Kilindoni,TZ,83.28,overcast clouds,-7.9139,39.6668,Bustani B&B
341,Ouesso,CG,83.07,broken clouds,1.6136,16.0517,ABENIE Hotel
345,Kieta,PG,81.7,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
358,Bourail,NC,80.82,scattered clouds,-21.5667,165.4833,Motel Allamanda
361,Ramgarh,IN,77.05,scattered clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
362,Samarai,PG,77.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
369,Chirongui,YT,85.93,light rain,-12.9319,45.1483,La Villa Mahatsara
375,Sai Buri,TH,87.82,few clouds,6.7013,101.6168,สวนป่ารีสอร์ท
379,Mahanoro,MG,81.91,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
383,Kroya,ID,84.43,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
386,Australind,AU,76.05,clear sky,-33.2667,115.7167,ON THE ESTUARY
387,Nisia Floresta,BR,77.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
396,Atambua,ID,82.06,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
398,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
400,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
401,Cururupu,BR,75.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
411,Zemio,CF,85.78,broken clouds,5.0314,25.1361,OCHA Office
414,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
418,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
421,Kimbe,PG,77.36,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
436,Mecca,SA,79.65,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
438,Sundumbili,ZA,78.24,broken clouds,-29.1337,31.3975,The Plover Bed and Breakfast
440,Mumford,GH,78.67,overcast clouds,5.2618,-0.759,Spanish Villa
443,Tezu,IN,75.36,overcast clouds,27.9167,96.1667,Circuit House
446,Christchurch,NZ,75.99,overcast clouds,-43.5333,172.6333,The George
452,Bodden Town,KY,78.93,overcast clouds,19.2833,-81.25,Will T Place
456,San Policarpo,PH,81.7,scattered clouds,12.1791,125.5072,Agapita M. Nicart
459,Ilebo,CD,77.43,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
464,Kalmunai,LK,81.79,overcast clouds,7.4167,81.8167,VS Villa
476,Santa Cruz Cabralia,BR,77.23,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
488,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
489,Sao Jose Da Coroa Grande,BR,76.86,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
496,Trairi,BR,76.23,scattered clouds,-3.2778,-39.2689,janelas do mar
510,Bitung,ID,86.85,scattered clouds,1.4451,125.1824,K2 Lembeh
511,Calvinia,ZA,84.02,clear sky,-31.4707,19.776,Die Lemoenhuis
512,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
514,Pundaguitan,PH,82.22,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
516,Chum Phae,TH,88.77,overcast clouds,16.5443,102.0992,Major Grand
517,Dingle,PH,83.1,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
521,Ewo,CG,81.63,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
522,Mamallapuram,IN,89.65,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
523,Jaque,PA,75.56,clear sky,7.5175,-78.1703,Aventuras Jaque S.A
524,Sumbe,AO,75.7,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
528,Saint-Georges,GD,75.88,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
529,Puerto Escondido,MX,75.24,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
532,Bengkulu,ID,85.23,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
537,Acarau,BR,76.57,overcast clouds,-2.8856,-40.12,castelo pizzaria
538,San Fernando,PH,89.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
539,Myitkyina,MM,82.02,clear sky,25.3833,97.4,Shwe Phyu Hotel
541,Kerema,PG,85.06,overcast clouds,-7.9631,145.7785,Frena Lodge
552,Vaitape,PF,81.19,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
556,Calabar,NG,80.87,few clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
558,Ndjole,GA,79.54,overcast clouds,-0.1783,10.7649,Motel Kédyann
561,Bonthe,SL,75.74,light rain,7.5264,-12.505,Bonthe Holiday Village
565,Cayenne,GF,78.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
569,Pemangkat,ID,83.73,broken clouds,1.1667,108.9667,Ramah Kost KITA
570,Kralendijk,BQ,79.0,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
575,Yenagoa,NG,80.53,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
577,Byron Bay,AU,79.88,scattered clouds,-28.65,153.6167,Backpackers Inn
580,San Juan,AR,82.27,clear sky,-31.5375,-68.5364,Hotel Provincial
606,Ladario,BR,76.68,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
608,Manggar,ID,83.34,overcast clouds,-2.8833,108.2667,Guest Hotel
613,Dicabisagan,PH,78.08,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
615,Bentiu,SS,89.78,overcast clouds,9.2333,29.8333,Mandela hôtel
619,Bubaque,GW,77.77,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
631,Sibolga,ID,81.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
636,Bandarbeyla,SO,78.66,clear sky,9.4942,50.8122,JABIR HOTEL
646,Luganville,VU,81.88,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
652,Gigmoto,PH,80.53,few clouds,13.7796,124.39,Cj's Travellers Inn
655,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
663,Voh,NC,82.13,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
666,Dubbo,AU,86.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
673,Sulangan,PH,80.44,clear sky,11.1373,123.7228,Maia's Beach Resort
674,Nacala,MZ,83.52,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
683,Teshie,GH,81.3,scattered clouds,5.5836,-0.1072,Adinkra Lodge
689,Turan,VN,77.05,broken clouds,16.0678,108.2208,Sun River Hotel
690,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
694,Kaele,CM,78.17,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
700,Bahia Blanca,AR,78.91,broken clouds,-38.7196,-62.2724,Hotel Argos
