City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kodiak,57.79,-152.4072,30.6,93,100,11.1,US,snow,2022-01-09 06:47:54
1,Kannur,11.8675,75.3576,85.15,58,8,7.78,IN,clear sky,2022-01-09 06:47:39
2,Port Elizabeth,-33.918,25.5701,78.1,83,75,17.27,ZA,broken clouds,2022-01-09 06:43:13
3,Kazerun,29.6195,51.6541,58.41,29,0,1.05,IR,clear sky,2022-01-09 06:47:55
4,Maarianhamina,60.0973,19.9348,31.86,100,100,5.75,AX,fog,2022-01-09 06:47:55
5,Butaritari,3.0707,172.7902,79.79,84,100,17.22,KI,moderate rain,2022-01-09 06:47:56
6,Coihaique,-45.5752,-72.0662,55.35,67,75,2.3,CL,broken clouds,2022-01-09 06:47:56
7,Alta Floresta,-9.8756,-56.0861,70.81,98,100,5.53,BR,overcast clouds,2022-01-09 06:47:57
8,Bluff,-46.6,168.3333,61.81,96,100,6.2,NZ,overcast clouds,2022-01-09 06:47:57
9,Cape Town,-33.9258,18.4232,78.1,59,0,14.97,ZA,clear sky,2022-01-09 06:43:13
10,Aksu,41.1231,80.2644,32.95,35,100,2.1,CN,overcast clouds,2022-01-09 06:47:58
11,Hermanus,-34.4187,19.2345,82.8,72,0,3.22,ZA,clear sky,2022-01-09 06:47:58
12,Kitaibaraki,36.7833,140.75,49.14,49,28,2.13,JP,scattered clouds,2022-01-09 06:47:59
13,Atuona,-9.8,-139.0333,78.91,71,20,16.78,PF,few clouds,2022-01-09 06:47:59
14,Husavik,66.0449,-17.3389,33.71,87,74,9.42,IS,broken clouds,2022-01-09 06:47:59
15,Melivoia,39.75,22.8,44.46,92,100,3.65,GR,overcast clouds,2022-01-09 06:48:00
16,Busselton,-33.65,115.3333,76.08,35,39,16.2,AU,scattered clouds,2022-01-09 06:48:00
17,Ushuaia,-54.8,-68.3,40.46,97,95,3.04,AR,light rain,2022-01-09 06:48:01
18,Yar-Sale,66.8333,70.8333,-6.99,99,100,4.34,RU,overcast clouds,2022-01-09 06:48:01
19,Lompoc,34.6391,-120.4579,54.79,87,0,4.61,US,clear sky,2022-01-09 06:46:53
20,Albany,42.6001,-73.9662,30.61,56,100,1.01,US,overcast clouds,2022-01-09 06:48:02
21,Gazli,40.1333,63.45,43.5,57,98,3.4,UZ,overcast clouds,2022-01-09 06:48:02
22,Ballina,-28.8667,153.5667,82.58,78,100,13.8,AU,overcast clouds,2022-01-09 06:48:03
23,Mataura,-46.1927,168.8643,61.48,95,89,2.21,NZ,light rain,2022-01-09 06:48:03
24,Hilo,19.7297,-155.09,73.13,86,100,0.0,US,overcast clouds,2022-01-09 06:48:04
25,East London,-33.0153,27.9116,76.14,83,20,11.5,ZA,few clouds,2022-01-09 06:43:40
26,Port Alfred,-33.5906,26.891,77.25,76,2,22.75,ZA,clear sky,2022-01-09 06:48:04
27,Pevek,69.7008,170.3133,-9.74,99,77,4.23,RU,broken clouds,2022-01-09 06:48:05
28,Barrow,71.2906,-156.7887,-16.58,69,0,4.61,US,clear sky,2022-01-09 06:45:01
29,Masunga,-20.6246,27.4488,68.97,68,100,15.05,BW,overcast clouds,2022-01-09 06:48:05
30,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,40,13.8,CA,scattered clouds,2022-01-09 06:48:06
31,Ankazoabo,-22.2833,44.5167,80.44,60,100,9.01,MG,light rain,2022-01-09 06:48:06
