City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.918,25.5701,69.1,94,100,9.22,ZA,2022-01-07 05:06:25
1,Abu Samrah,35.3029,37.1841,49.32,81,100,4.99,SY,2022-01-07 05:06:26
2,Kutum,14.2,24.6667,59.23,31,11,5.57,SD,2022-01-07 05:06:26
3,Vardo,70.3705,31.1107,19.6,56,100,17.87,NO,2022-01-07 05:06:26
4,Mataura,-46.1927,168.8643,59.49,47,32,7.92,NZ,2022-01-07 05:06:27
5,Mahebourg,-20.4081,57.7,82.26,76,100,5.19,MU,2022-01-07 05:06:27
6,Salalah,17.0151,54.0924,68.09,24,0,18.41,OM,2022-01-07 05:06:28
7,Albany,42.6001,-73.9662,28.27,80,100,1.52,US,2022-01-07 05:05:49
8,Husavik,66.0449,-17.3389,25.88,82,9,14.12,IS,2022-01-07 05:06:28
9,Cayenne,4.9333,-52.3333,78.1,88,75,5.01,GF,2022-01-07 05:06:29
10,Zhanaozen,43.3,52.8,37.11,77,66,16.24,KZ,2022-01-07 05:06:29
11,Kodiak,57.79,-152.4072,27.91,86,0,6.91,US,2022-01-07 05:06:30
12,Bluff,-46.6,168.3333,59.81,73,51,6.89,NZ,2022-01-07 05:06:30
13,Vila Franca Do Campo,37.7167,-25.4333,58.19,76,93,9.37,PT,2022-01-07 05:06:31
14,Beloha,-25.1667,45.05,77.63,70,72,12.68,MG,2022-01-07 05:06:31
15,Punta Arenas,-53.15,-70.9167,48.31,61,0,11.5,CL,2022-01-07 05:06:32
16,Mayumba,-3.432,10.6554,76.35,92,93,5.41,GA,2022-01-07 05:06:32
17,Carthage,36.8611,10.3316,45.93,76,40,9.22,TN,2022-01-07 05:04:13
18,Dikson,73.5069,80.5464,-24.0,100,100,12.73,RU,2022-01-07 05:06:33
19,Hilo,19.7297,-155.09,71.11,94,28,6.78,US,2022-01-07 05:02:58
20,Road Town,18.4167,-64.6167,78.89,72,9,17.72,VG,2022-01-07 05:06:34
21,Yellowknife,62.456,-114.3525,-3.59,97,87,9.73,CA,2022-01-07 05:06:35
22,Ishigaki,24.3448,124.1572,68.76,75,99,18.43,JP,2022-01-07 05:03:08
23,Mackay,-21.15,149.2,90.68,73,4,12.53,AU,2022-01-07 05:06:35
24,Burnie,-41.0667,145.9167,69.93,84,97,1.36,AU,2022-01-07 05:06:36
25,Puerto Ayora,-0.7393,-90.3518,71.58,85,71,3.49,EC,2022-01-07 05:06:36
26,Upernavik,72.7868,-56.1549,0.97,99,100,6.13,GL,2022-01-07 05:06:37
27,Provideniya,64.3833,-173.3,14.41,84,7,9.86,RU,2022-01-07 05:05:51
28,Sorong,-0.8833,131.25,83.66,69,7,6.35,ID,2022-01-07 05:06:37
29,Thompson,55.7435,-97.8558,-19.86,93,23,7.72,CA,2022-01-07 05:04:28
30,Taltal,-25.4,-70.4833,65.62,83,25,1.34,CL,2022-01-07 05:06:38
31,Avarua,-21.2078,-159.775,84.25,70,20,4.61,CK,2022-01-07 05:03:17
32,Cherskiy,68.75,161.3,-8.34,97,100,1.92,RU,2022-01-07 05:06:39
33,Vanavara,60.34,102.2797,-2.11,94,100,6.53,RU,2022-01-07 05:06:40
